station,usage,total_bikes,poi_name,poi_distance,poi_address
Toudouze - Clauzel,0.8,20,Le Sans Souci,233.0,"65 rue Jean-Baptiste Pigalle, 75009 Paris"
Toudouze - Clauzel,0.8,20,Arnaud Delmontel,233.0,"39 rue des Martyrs, 75009 Paris"
Toudouze - Clauzel,0.8,20,Le Dream Café,288.0,"8 rue des Martyrs, 75009 Paris"
Toudouze - Clauzel,0.8,20,Aux Noctambules,373.0,"24 boulevard de Clichy (Rue André Antoine), 75018 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,G-T Interactives,59.0,"7 Passage du Bureau, 75011 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Le Colibri,164.0,"À l'Angle de rue Bagnolet 150 boulevard Charonne (Boulevard de Charonne), 75020 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Le Pain d'Or de Charonne,106.0,"166 rue de Charonne, 75011 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Café Lino,296.0,"81 boulevard de Charonne (Rue Alexandre Dumas), 75011 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,L'Abribus,487.0,"56 rue de Bagnolet, 75020 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Diabi Ahmed,208.0,"7 rue de Bagnolet, 75020 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Gilles Bruno LObservatoire des Médias,237.0,"128 boulevard de Charonne, 75020 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Ecole Phénix et Dragon,241.0,"45 rue Alexandre Dumas, 75011 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Sémaphores,256.0,"148 rue de Charonne, 75011 Paris"
Charonne - Robert et Sonia Delaunay,0.6,20,Wouri Tv,263.0,"40 rue Alexandre Dumas, 75011 Paris"
Mairie du 12ème,0.1724137931034483,29,Chez Coquille,277.0,"7 boulevard de Reuilly, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Ernest & Valentin,379.0,"225 rue de Charenton, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Café le Repaire,385.0,"100 avenue Daumesnil, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Square Jean Morin,219.0,"238 rue de Charenton (Boulevard de Reuilly), 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Marceaux Jean-Yves,237.0,"5 boulevard de Reuilly, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Piscine Municipale,210.0,"13 rue Antoine-Julien H\u00e9nard, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,La Terrasse de Bercy,520.0,"102 rue de Bercy, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Marché Daumesnil,546.0,"57 boulevard de Reuilly, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,La Terrasse des Métiers,375.0,"68 bis, rue de Reuilly, 75012 Paris"
Mairie du 12ème,0.1724137931034483,29,Café In,336.0,"152 bis avenue Daumesnil, 75012 Paris"
Square Boucicaut,0.8947368421052632,57,Les Oiseaux,43.0,"43 rue de Sèvres, 75006 Paris"
Square Boucicaut,0.8947368421052632,57,Boulangerie Saint Placide,191.0,"18 rue Saint-Placide, 75006 Paris"
Square Boucicaut,0.8947368421052632,57,Poilâne,291.0,"8 rue du Cherche-Midi, 75006 Paris"
Square Boucicaut,0.8947368421052632,57,Secco,311.0,"31 rue de Varenne (Rue du Bac), 75007 Paris"
Square Boucicaut,0.8947368421052632,57,S-i-p,118.0,"46 boulevard Raspail, 75007 Département de Paris"
Square Boucicaut,0.8947368421052632,57,Thierry Marx,329.0,"83P rue du Bac (Boulevard Raspail), 75007 Paris"
Square Boucicaut,0.8947368421052632,57,Bar de la Croix Rouge,354.0,"2 Carrefour de la Croix Rouge, 75006 Paris"
Square Boucicaut,0.8947368421052632,57,Brasserie le Raspail,221.0,"58 boulevard Raspail, 75006 Paris"
Square Boucicaut,0.8947368421052632,57,Boulangerie Secco,360.0,"101 rue de Rennes (Rue d'Assas), 75006 Paris"
Square Boucicaut,0.8947368421052632,57,Les Ambassades,388.0,"75 rue du Bac, 75007 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Stop Cluny,39.0,"94 boulevard Saint Germain, 75005 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Starbucks,106.0,"24 boulevard Saint-Michel, 75006 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Le Lutèce,132.0,"8 boulevard Saint Michel, 75006 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Café le Quartier Général,190.0,"82 boulevard Saint-Germain, 75005 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Brioche Dorée,49.0,"20 boulevard Saint Michel (Boulevard Saint-Germain), 75006 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Le Petit Chatelet,268.0,"39 rue de la Bûcherie (Rue Saint-Julien le Pauvre), 75005 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Latin Quarter (Quartier Latin),18.0,75005 Paris
Harpe - Saint-Germain,0.1395348837209302,43,Le Départ,231.0,"1 place Saint-Michel (29 quai Saint-Michel), 75005 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Le Saint André,177.0,"2 rue Danton, 75006 Paris"
Harpe - Saint-Germain,0.1395348837209302,43,Nadia Crêperie,45.0,"94 boulevard Saint Germain, 75005 Paris"
