company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes
"['Vilvolt CA Épinal', ""Communauté d'agglomération Épinal"", 'Fifteen SAS']",/v2/networks/vilvolt,vilvolt,Vilvolt,Epinal,FR,48.1833,6.4508,,,,,
"['VeloBaie', 'Fifteen SAS']",/v2/networks/velobaie,velobaie,VeloBaie,Saint-Brieuc,FR,48.514,-2.765,,,,,
['Donkey Republic'],/v2/networks/donkey-gh,donkey-gh,Donkey Republic - Gent,Gent,BE,51.05,3.7303,,https://stables.donkey.bike/api/public/gbfs/donkey_gh/gbfs,,,
['JCDecaux'],/v2/networks/mbajk,mbajk,MBajk,Maribor,SI,46.5547,15.6459,https://developer.jcdecaux.com,,Open Licence,https://developer.jcdecaux.com/#/opendata/licence,
['PubliBike AG'],/v2/networks/publibike-zuerich,publibike-zuerich,PubliBike Zürich,Zürich,CH,47.38728,8.53767,https://api.publibike.ch/v1/static/api.html,,,,
['PubliBike AG'],/v2/networks/publibike-region-de-nyon,publibike-region-de-nyon,PubliBike Région de Nyon,Nyon,CH,46.381706,6.240311,https://api.publibike.ch/v1/static/api.html,,,,
['PubliBike AG'],/v2/networks/publibike-bern,publibike-bern,PubliBike Bern,Bern,CH,46.94841,7.43767,https://api.publibike.ch/v1/static/api.html,,,,
['PubliBike AG'],/v2/networks/publibike-sottoceneri-ti,publibike-sottoceneri-ti,PubliBike Sottoceneri (TI),Lugano,CH,46.00491,8.95244,https://api.publibike.ch/v1/static/api.html,,,,
['PubliBike AG'],/v2/networks/publibike-fribourg,publibike-fribourg,PubliBike Fribourg,Fribourg,CH,46.805708,7.160339,https://api.publibike.ch/v1/static/api.html,,,,
['PubliBike AG'],/v2/networks/publibike-lausanne-morges,publibike-lausanne-morges,PubliBike Lausanne-Morges,Lausanne,CH,46.516649,6.62948,https://api.publibike.ch/v1/static/api.html,,,,
"['Citybike Normandie', 'INURBA Mobility']",/v2/networks/lovelolibreservice,lovelolibreservice,Lovélo Libre Service,Rouen,FR,49.4432552,1.0999821,,https://gbfs.urbansharing.com/lovelolibreservice.fr/gbfs.json,,,
['The National Transport Authority'],/v2/networks/waterford,waterford,TFI Bikes,Waterford,IE,52.2475049,-7.1130299,,,,,
['Cyclopolis Systems'],/v2/networks/cyclopolis-loutraki,cyclopolis-loutraki,Cyclopolis,Loutraki,GR,37.9782137,22.9767486,,,,,
